time_id,full_date,day_of_month,month_number,year_number,day_name,month_name,is_weekend,quarter,year_month
1,2020-01-01,1,1,2020,Wednesday,January,false,Q1,2020-01
2,2020-01-02,2,1,2020,Thursday,January,false,Q1,2020-01
3,2020-01-03,3,1,2020,Friday,January,false,Q1,2020-01
4,2020-01-04,4,1,2020,Saturday,January,true,Q1,2020-01
5,2020-01-05,5,1,2020,Sunday,January,true,Q1,2020-01
6,2020-01-06,6,1,2020,Monday,January,false,Q1,2020-01
7,2020-01-07,7,1,2020,Tuesday,January,false,Q1,2020-01
8,2020-01-08,8,1,2020,Wednesday,January,false,Q1,2020-01
9,2020-01-09,9,1,2020,Thursday,January,false,Q1,2020-01
10,2020-01-10,10,1,2020,Friday,January,false,Q1,2020-01
11,2020-01-11,11,1,2020,Saturday,January,true,Q1,2020-01
12,2020-01-12,12,1,2020,Sunday,January,true,Q1,2020-01
13,2020-01-13,13,1,2020,Monday,January,false,Q1,2020-01
14,2020-01-14,14,1,2020,Tuesday,January,false,Q1,2020-01
15,2020-01-15,15,1,2020,Wednesday,January,false,Q1,2020-01
16,2020-01-16,16,1,2020,Thursday,January,false,Q1,2020-01
17,2020-01-17,17,1,2020,Friday,January,false,Q1,2020-01
18,2020-01-18,18,1,2020,Saturday,January,true,Q1,2020-01
19,2020-01-19,19,1,2020,Sunday,January,true,Q1,2020-01
20,2020-01-20,20,1,2020,Monday,January,false,Q1,2020-01
21,2020-01-21,21,1,2020,Tuesday,January,false,Q1,2020-01
22,2020-01-22,22,1,2020,Wednesday,January,false,Q1,2020-01
23,2020-01-23,23,1,2020,Thursday,January,false,Q1,2020-01
24,2020-01-24,24,1,2020,Friday,January,false,Q1,2020-01
25,2020-01-25,25,1,2020,Saturday,January,true,Q1,2020-01
26,2020-01-26,26,1,2020,Sunday,January,true,Q1,2020-01
27,2020-01-27,27,1,2020,Monday,January,false,Q1,2020-01
28,2020-01-28,28,1,2020,Tuesday,January,false,Q1,2020-01
29,2020-01-29,29,1,2020,Wednesday,January,false,Q1,2020-01
30,2020-01-30,30,1,2020,Thursday,January,false,Q1,2020-01
31,2020-01-31,31,1,2020,Friday,January,false,Q1,2020-01
32,2020-02-01,1,2,2020,Saturday,February,true,Q1,2020-02
33,2020-02-02,2,2,2020,Sunday,February,true,Q1,2020-02
34,2020-02-03,3,2,2020,Monday,February,false,Q1,2020-02
35,2020-02-04,4,2,2020,Tuesday,February,false,Q1,2020-02
36,2020-02-05,5,2,2020,Wednesday,February,false,Q1,2020-02
37,2020-02-06,6,2,2020,Thursday,February,false,Q1,2020-02
38,2020-02-07,7,2,2020,Friday,February,false,Q1,2020-02
39,2020-02-08,8,2,2020,Saturday,February,true,Q1,2020-02
40,2020-02-09,9,2,2020,Sunday,February,true,Q1,2020-02
41,2020-02-10,10,2,2020,Monday,February,false,Q1,2020-02
42,2020-02-11,11,2,2020,Tuesday,February,false,Q1,2020-02
43,2020-02-12,12,2,2020,Wednesday,February,false,Q1,2020-02
44,2020-02-13,13,2,2020,Thursday,February,false,Q1,2020-02
45,2020-02-14,14,2,2020,Friday,February,false,Q1,2020-02
46,2020-02-15,15,2,2020,Saturday,February,true,Q1,2020-02
47,2020-02-16,16,2,2020,Sunday,February,true,Q1,2020-02
48,2020-02-17,17,2,2020,Monday,February,false,Q1,2020-02
